x,y
2.12162,0.90164
2.12913,0.90215
2.13664,0.90266
2.14414,0.90316
2.15165,0.90366
2.15916,0.90416
2.16667,0.90465
2.17417,0.90514
2.18168,0.90562
2.18919,0.9061
2.1967,0.90658
2.2042,0.90705
2.21171,0.90752
2.21922,0.90798
2.22673,0.90844
2.23423,0.9089
2.24174,0.90936
2.24925,0.90981
2.25676,0.91025
2.26426,0.9107
2.27177,0.91114
2.27928,0.91157
2.28679,0.91201
2.29429,0.91244
2.3018,0.91286
2.30931,0.91329
2.31682,0.91371
2.32432,0.91413
2.33183,0.91454
2.33934,0.91495
2.34685,0.91536
2.35435,0.91576
2.36186,0.91617
2.36937,0.91657
2.37688,0.91696
2.38438,0.91735
2.39189,0.91774
2.3994,0.91813
2.40691,0.91852
2.41441,0.9189
2.42192,0.91928
2.42943,0.91965
2.43694,0.92003
2.44444,0.9204
2.45195,0.92076
2.45946,0.92113
2.46697,0.92149
2.47447,0.92185
2.48198,0.92221
2.48949,0.92257
2.497,0.92292
2.5045,0.92327
2.51201,0.92361
2.51952,0.92396
2.52703,0.9243
2.53453,0.92464
2.54204,0.92498
2.54955,0.92532
2.55706,0.92565
2.56456,0.92598
2.57207,0.92631
2.57958,0.92663
2.58709,0.92696
2.59459,0.92728
2.6021,0.9276
2.60961,0.92792
2.61712,0.92823
2.62462,0.92854
2.63213,0.92885
2.63964,0.92916
2.64715,0.92947
2.65465,0.92977
2.66216,0.93008
2.66967,0.93038
2.67718,0.93067
2.68468,0.93097
2.69219,0.93127
2.6997,0.93156
2.70721,0.93185
2.71471,0.93214
2.72222,0.93242
2.72973,0.93271
2.73724,0.93299
2.74474,0.93327
2.75225,0.93355
2.75976,0.93383
2.76727,0.9341
2.77477,0.93438
2.78228,0.93465
2.78979,0.93492
2.7973,0.93519
2.8048,0.93545
2.81231,0.93572
2.81982,0.93598
2.82733,0.93624
2.83483,0.9365
2.84234,0.93676
2.84985,0.93702
2.85736,0.93727
2.86486,0.93753
2.87237,0.93778
2.87988,0.93803
2.88739,0.93828
2.89489,0.93852
2.9024,0.93877
2.90991,0.93901
2.91742,0.93926
2.92492,0.9395
2.93243,0.93974
2.93994,0.93997
2.94745,0.94021
2.95495,0.94045
2.96246,0.94068
2.96997,0.94091
2.97748,0.94114
2.98498,0.94137
2.99249,0.9416
3,0.94183
3.00751,0.94205
3.01502,0.94228
3.02252,0.9425
3.03003,0.94272
3.03754,0.94294
3.04505,0.94316
3.05255,0.94337
3.06006,0.94359
3.06757,0.9438
3.07508,0.94402
3.08258,0.94423
3.09009,0.94444
3.0976,0.94465
3.10511,0.94486
3.11261,0.94506
3.12012,0.94527
3.12763,0.94548
3.13514,0.94568
3.14264,0.94588
3.15015,0.94608
3.15766,0.94628
3.16517,0.94648
3.17267,0.94668
3.18018,0.94687
3.18769,0.94707
3.1952,0.94726
3.2027,0.94746
3.21021,0.94765
3.21772,0.94784
3.22523,0.94803
3.23273,0.94822
3.24024,0.94841
3.24775,0.94859
3.25526,0.94878
3.26276,0.94896
3.27027,0.94914
3.27778,0.94933
3.28529,0.94951
3.29279,0.94969
3.3003,0.94987
3.30781,0.95005
