"g0","td","chl","sam","time.react"
9.28385292469792,0.0017545004075656,"Dr","20","200us"
9.44122150006421,0.00182815888481418,"Dr","1","500us"
9.88896361718532,0.00186115226723245,"Dr","2","500us"
9.79632113811213,0.00178399006536579,"Dr","3","500us"
8.98176626027874,0.00188346858065347,"Dr","4","500us"
10.0505707726806,0.0018815147231519,"Dr","5","500us"
9.23451679475839,0.00186458311957458,"Dr","6","500us"
9.50892257489186,0.00191730984156014,"Dr","7","500us"
9.46648114390423,0.00176790763725115,"Dr","8","500us"
9.47446020330358,0.00173345139978596,"Dr","9","500us"
8.5289102192247,0.00177358284207738,"Dr","10","500us"
9.15289755301087,0.00192590227458608,"Dr","11","500us"
9.34928123246,0.00179717939942633,"Dr","12","500us"
8.75610627910427,0.001895749379919,"Dr","13","500us"
10.4693537017265,0.0020090714661884,"Dr","14","500us"
9.79086371821554,0.00186466181902487,"Dr","15","500us"
9.90866264479421,0.00182189458883133,"Dr","16","500us"
8.84159606326081,0.00170216731973572,"Dr","17","500us"
9.03150738856603,0.00174287652905911,"Dr","18","500us"
8.88025981919577,0.00193835025940739,"Dr","19","500us"
9.60626318545626,0.00181001211766772,"Dr","20","500us"
6.97046675524968,0.00180903926540631,"Tt","1","0us"
6.42273387478212,0.00175780726165284,"Tt","2","0us"
6.64106857273399,0.00174647105977581,"Tt","3","0us"
6.91612395201134,0.00189303701988163,"Tt","4","0us"
6.88603252047672,0.00200421151449459,"Tt","5","0us"
6.68035601989217,0.00199142464856269,"Tt","6","0us"
6.77688051750736,0.00189073898101048,"Tt","7","0us"
7.19648903424945,0.00197248824749321,"Tt","8","0us"
6.67059574659932,0.00177720297434653,"Tt","9","0us"
6.6249735691139,0.00183788808612442,"Tt","10","0us"
6.87766868367925,0.0018433571686255,"Tt","11","0us"
6.96269362990574,0.00191752638355642,"Tt","12","0us"
6.64611368961227,0.00184989284208483,"Tt","13","0us"
7.25515410890679,0.0019055293881162,"Tt","14","0us"
6.72985776661926,0.00198407883032606,"Tt","15","0us"
6.38604248001382,0.00207078248393324,"Tt","16","0us"
6.4166502742192,0.00176430266579549,"Tt","17","0us"
7.00247799469224,0.00197921998596896,"Tt","18","0us"
6.8687284017726,0.00195144931701729,"Tt","19","0us"
6.73483097637514,0.00182434607027067,"Tt","20","0us"
6.84072123314449,0.00193111426593969,"Tt","1","100us"
6.43976020732962,0.00182393488121071,"Tt","2","100us"
7.24042780173368,0.00204038787302876,"Tt","3","100us"
6.36174876926839,0.00187516618629838,"Tt","4","100us"
6.14763449965164,0.00186390386917368,"Tt","5","100us"
6.62329110508312,0.00182405237100338,"Tt","6","100us"
6.35079429339952,0.00183011980179077,"Tt","7","100us"
