"g0","td","w2","chl","sam","time.react"
9.51494789119354,0.000829568359656447,39.0552080802467,"Ac","17","200us"
9.98409984189285,0.000864949664940873,28.1092063842047,"Ac","18","200us"
9.55634350931367,0.000847665723836356,21.0310547848237,"Ac","19","200us"
10.1675165899483,0.000940127500433934,17.4601191638087,"Ac","20","200us"
9.83576889533102,0.000879323638153994,40.8520592606862,"Ac","1","500us"
9.55339765027887,0.000871327141830463,18.1530437346836,"Ac","2","500us"
9.87364157351924,0.000840418935220089,56.7012770688359,"Ac","3","500us"
9.81392763569739,0.000838388976026543,73.0726715363782,"Ac","4","500us"
9.67647527099589,0.000841606855793783,24.4977838688027,"Ac","5","500us"
10.1229116488687,0.000903496490332301,28.2404361153626,"Ac","6","500us"
9.72019607323724,0.000877578180497683,27.0165462150787,"Ac","7","500us"
9.94411985257341,0.000905134869449237,17.6543776453586,"Ac","8","500us"
10.5458719322624,0.000867870069460975,48.9565706967298,"Ac","9","500us"
9.91242091268257,0.000857133723435352,20.6255708018186,"Ac","10","500us"
10.1387914133496,0.000906565618368493,22.6260524782327,"Ac","11","500us"
9.90149178160758,0.000829110133845072,28.2251726018083,"Ac","12","500us"
9.84158899948856,0.000889260607687214,17.7369460714931,"Ac","13","500us"
9.6180510534643,0.000917268735233563,12.2320271051383,"Ac","14","500us"
9.79504383931457,0.00086922248368669,12.8603142537875,"Ac","15","500us"
9.71224124250679,0.000847007538861214,30.8621564646017,"Ac","16","500us"
9.7005903616175,0.000888790853995022,24.9273990142119,"Ac","17","500us"
9.79066842881563,0.000879545480879538,12.4298965929886,"Ac","18","500us"
10.1305173885058,0.000890463916478589,34.3813814510683,"Ac","19","500us"
9.61823270944807,0.000866146377809673,51.0845657606334,"Ac","20","500us"
4.12023627127899,0.000948129489043086,15.3331652095375,"Dr","1","0us"
3.95802944085109,0.000839667547480758,52.1941736572468,"Dr","2","0us"
4.04277496261498,0.000907521724615833,17.6246458671667,"Dr","3","0us"
3.9744245929132,0.000859980239182175,21.3410928213812,"Dr","4","0us"
4.13687053970654,0.000956596606460424,15.9479075709389,"Dr","5","0us"
3.73473601665677,0.000874939029727874,35.9006864836708,"Dr","6","0us"
3.73653778571524,0.000930401507889723,10.194435336779,"Dr","7","0us"
4.14150567235878,0.000895680851222505,25.2051497872086,"Dr","8","0us"
4.42346450659394,0.000935200078012639,15.2802524613313,"Dr","9","0us"
4.11815058443707,0.000953533312234703,25.9015402258427,"Dr","10","0us"
3.86781639649048,0.000867888534789509,32.1617884929129,"Dr","11","0us"
4.46027004108377,0.000900411493534615,26.2746731463215,"Dr","12","0us"
4.18809206001602,0.000917669743114729,45.3325534376934,"Dr","13","0us"
4.22551489529311,0.000981054334552482,14.5678513382273,"Dr","14","0us"
4.00163014788653,0.000946447173351763,19.6846298331949,"Dr","15","0us"
4.10462950563296,0.000916629385272074,17.5703437872239,"Dr","16","0us"
4.12166165790428,0.000919034503627565,30.6224699300438,"Dr","17","0us"
3.94461414565723,0.000914172504784078,14.9406682681019,"Dr","18","0us"
4.22401648490303,0.000931660062402003,29.3591375900557,"Dr","19","0us"
3.93014866501414,0.00087370758516432,24.82666679412,"Dr","20","0us"
4.00283589328831,0.000817228434979297,48.2457375067707,"Dr","1","100us"
3.91406207643832,0.000899671713321384,17.2584610897452,"Dr","2","100us"
4.10561084458768,0.000800546980366303,43.6801424949326,"Dr","3","100us"
4.22545504657482,0.000845020164720193,24.9149670383114,"Dr","4","100us"
3.87643010170764,0.000887105194418971,18.2898827415772,"Dr","5","100us"
3.88954437737258,0.000820153212646202,36.8854233687556,"Dr","6","100us"
3.91689770417622,0.000822482208664291,38.1567333792234,"Dr","7","100us"
4.01549910845786,0.000844893579410216,68.7381183275074,"Dr","8","100us"
3.85457161254531,0.000775059753172885,57.0841055747233,"Dr","9","100us"
3.90681917209092,0.000797274092028508,44.8567421662835,"Dr","10","100us"
4.08378571815056,0.000778903818264339,79.459176447517,"Dr","11","100us"
3.68290316841838,0.000851945387396685,16.8011345936881,"Dr","12","100us"
3.75077277574887,0.000830513419463092,48.4695377377224,"Dr","13","100us"
3.71516831002351,0.000797151949081876,28.1018719083963,"Dr","14","100us"
3.90509762522774,0.000835296296955138,46.7138255907267,"Dr","15","100us"
3.92104020347692,0.000805620387293739,50.899623759728,"Dr","16","100us"
3.8104163223743,0.000780978100106278,63.4722815831924,"Dr","17","100us"
3.84168234915436,0.000835891096551543,55.2501140510137,"Dr","18","100us"
3.98051628295477,0.00081123073501243,40.7293896045964,"Dr","19","100us"
4.00270985894342,0.000785579178286742,44.2695548199841,"Dr","20","100us"
3.92271615890026,0.000777567993110579,75.7528909389313,"Dr","1","200us"
4.0817543195486,0.000833371141463744,37.2812482908086,"Dr","2","200us"
3.93275508881515,0.000824129301727708,30.2768256061138,"Dr","3","200us"
4.23748951979875,0.000828546110527608,69.4047596505158,"Dr","4","200us"
4.25005569833961,0.000818023994166678,64.0446522115772,"Dr","5","200us"
4.06869866954223,0.000809851610660711,38.7886054468224,"Dr","6","200us"
3.97312027321769,0.000794271246355613,59.9284318603554,"Dr","7","200us"
3.98031912972076,0.000830740550829309,30.8756932807752,"Dr","8","200us"
3.70465059891016,0.000812280006048757,47.0826497392254,"Dr","9","200us"
3.97921436443152,0.000812479756140082,68.2264380408624,"Dr","10","200us"
3.93815718956633,0.000798412907902735,55.3799958588944,"Dr","11","200us"
3.83512555511002,0.000806913555647553,42.1227385434964,"Dr","12","200us"
3.75125751068274,0.000813223710135874,38.4322983965867,"Dr","13","200us"
3.99170998639021,0.000782809422982074,46.165923065508,"Dr","14","200us"
4.07664797613166,0.000822383800081523,30.9701675661118,"Dr","15","200us"
3.75603693336971,0.000802744707176102,52.5896547917479,"Dr","16","200us"
3.94602020803561,0.00076501574254414,54.1029973859015,"Dr","17","200us"
4.01720551919469,0.000790287954569846,47.8416380388001,"Dr","18","200us"
3.89642052712149,0.000754492989157708,43.8044769440259,"Dr","19","200us"
4.1650311911015,0.000824458868180494,36.1287635604577,"Dr","20","200us"
4.13608691520666,0.000800098032888723,90.7518784516995,"Dr","1","500us"
4.070255717403,0.000820876784093646,20.5076393209735,"Dr","2","500us"
4.13643800247991,0.000802955252831027,77.8008710011125,"Dr","3","500us"
