g0,td,w2,chl,sam,time.react
9.000443832,0.001940832,38.6341985,Dr,4,100us
8.736230645,0.002017627,17.28855115,Dr,5,100us
9.037050075,0.00201754,13.54786479,Dr,6,100us
8.787607923,0.001816873,216.9333427,Dr,7,100us
9.199528485,0.002027297,55.97958066,Dr,8,100us
8.281964143,0.002110456,15.3905817,Dr,9,100us
8.837592882,0.002002643,19.28922797,Dr,10,100us
9.100797081,0.001899829,18.38851717,Dr,11,100us
8.9349625,0.001934711,83.57802027,Dr,12,100us
8.545112766,0.002061618,49.56385182,Dr,13,100us
9.385499027,0.001931772,22.12298353,Dr,14,100us
9.360673431,0.001936335,26.20382552,Dr,15,100us
9.498092496,0.001978029,13.88863942,Dr,16,100us
9.467380173,0.002013937,34.92073361,Dr,17,100us
9.097083746,0.00197378,18.2122145,Dr,18,100us
9.229105728,0.002129272,14.81482373,Dr,19,100us
9.356164823,0.00195571,27.49098378,Dr,20,100us
9.382925237,0.00199811,23.77738807,Dr,1,200us
9.812851989,0.001993272,147.8829737,Dr,2,200us
9.32412172,0.001816395,46.74656583,Dr,3,200us
9.523255276,0.001994005,58.39383929,Dr,4,200us
9.124104568,0.001813972,24.70106193,Dr,5,200us
9.501498112,0.002022483,25.88014296,Dr,6,200us
9.270920808,0.00195868,22.36882556,Dr,7,200us
9.749723295,0.001898437,35.42777543,Dr,8,200us
8.786623508,0.001771896,157.1806759,Dr,9,200us
8.708310151,0.001855026,24.7648069,Dr,10,200us
9.540233023,0.001960009,69.33116257,Dr,11,200us
9.924562369,0.001982268,24.77402931,Dr,12,200us
9.019395976,0.001985986,29.7463462,Dr,13,200us
9.21870604,0.001956652,41.5436424,Dr,14,200us
9.00562483,0.002023197,18.44126679,Dr,15,200us
8.878155582,0.001956124,27.50031451,Dr,16,200us
8.681400486,0.001928209,22.51694172,Dr,17,200us
8.670331394,0.002017031,14.33132529,Dr,18,200us
9.366011047,0.002136302,13.74258206,Dr,19,200us
9.232713581,0.001862952,29.1661019,Dr,20,200us
9.334503623,0.002104387,10.33012729,Dr,1,500us
9.872613274,0.001893287,114.0641512,Dr,2,500us
9.752195751,0.001872633,37.04049908,Dr,3,500us
8.958043207,0.00193672,68.10159292,Dr,4,500us
10.03178121,0.001918884,97.73364311,Dr,5,500us
9.158725296,0.002050287,17.09066322,Dr,6,500us
9.437642217,0.002094892,18.18124221,Dr,7,500us
9.441307522,0.001817361,68.9165216,Dr,8,500us
9.378519905,0.001956784,12.48755574,Dr,9,500us
8.46595736,0.001928597,19.67816676,Dr,10,500us
9.152547997,0.001926643,5402.136316,Dr,11,500us
9.331326461,0.001833317,96.87308529,Dr,12,500us
8.735190807,0.001944623,74.19566477,Dr,13,500us
10.40869518,0.002146911,25.78681493,Dr,14,500us
9.77715493,0.001891696,137.225282,Dr,15,500us
9.883964712,0.001870264,72.26950631,Dr,16,500us
8.796835536,0.001798364,31.80866399,Dr,17,500us
8.956596653,0.001919129,16.49462983,Dr,18,500us
8.828846649,0.002068794,26.51289355,Dr,19,500us
9.575847095,0.001871467,56.01561935,Dr,20,500us
6.910659966,0.002001187,15.63655891,Tt,1,0us
6.367281733,0.001946362,15.33018011,Tt,2,0us
6.57556052,0.001965506,12.85189278,Tt,3,0us
6.891338222,0.001969182,45.69374194,Tt,4,0us
6.845286206,0.002145455,24.96367661,Tt,5,0us
6.651435875,0.002090325,36.63651042,Tt,6,0us
6.738059563,0.002018269,25.98949495,Tt,7,0us
7.157752846,0.002097735,27.86313673,Tt,8,0us
6.624530584,0.001922685,20.98800968,Tt,9,0us
