g0,td,chl,sam,time.react,fret
4.03129381,0.000819421,Dr,8,100us,0.5_0.7
3.873015435,0.000747251,Dr,9,100us,0.5_0.7
3.930007064,0.000761623,Dr,10,100us,0.5_0.7
4.098147989,0.000758332,Dr,11,100us,0.5_0.7
3.728905695,0.00076703,Dr,12,100us,0.5_0.7
3.771240422,0.00079599,Dr,13,100us,0.5_0.7
3.746996051,0.00074451,Dr,14,100us,0.5_0.7
3.926634585,0.000799778,Dr,15,100us,0.5_0.7
3.941362643,0.000773796,Dr,16,100us,0.5_0.7
3.826819338,0.00075565,Dr,17,100us,0.5_0.7
3.860313452,0.000804997,Dr,18,100us,0.5_0.7
4.00540596,0.000772276,Dr,19,100us,0.5_0.7
4.026605033,0.000750193,Dr,20,100us,0.5_0.7
3.93734299,0.000755953,Dr,1,200us,0.5_0.7
4.108981636,0.000790256,Dr,2,200us,0.5_0.7
3.964251899,0.000773009,Dr,3,200us,0.5_0.7
4.254093727,0.000803791,Dr,4,200us,0.5_0.7
4.268126111,0.000791625,Dr,5,200us,0.5_0.7
4.095285703,0.000769233,Dr,6,200us,0.5_0.7
3.990992637,0.000767167,Dr,7,200us,0.5_0.7
4.011652557,0.000780045,Dr,8,200us,0.5_0.7
3.72496542,0.000778056,Dr,9,200us,0.5_0.7
3.995397859,0.0007876,Dr,10,200us,0.5_0.7
3.957208452,0.000769111,Dr,11,200us,0.5_0.7
3.858611042,0.000769161,Dr,12,200us,0.5_0.7
3.776475429,0.000771676,Dr,13,200us,0.5_0.7
4.014371203,0.000749079,Dr,14,200us,0.5_0.7
4.10874355,0.000772295,Dr,15,200us,0.5_0.7
3.775007044,0.000771903,Dr,16,200us,0.5_0.7
3.965828044,0.000736236,Dr,17,200us,0.5_0.7
4.03951024,0.000757109,Dr,18,200us,0.5_0.7
3.919838272,0.000720367,Dr,19,200us,0.5_0.7
4.193319781,0.000780856,Dr,20,200us,0.5_0.7
4.149108177,0.00078126,Dr,1,500us,0.5_0.7
4.113896162,0.000751252,Dr,2,500us,0.5_0.7
4.151493984,0.000781098,Dr,3,500us,0.5_0.7
4.18362135,0.000763527,Dr,4,500us,0.5_0.7
4.120463859,0.000742089,Dr,5,500us,0.5_0.7
4.214458609,0.000779406,Dr,6,500us,0.5_0.7
4.089455703,0.000770903,Dr,7,500us,0.5_0.7
4.126140325,0.000755112,Dr,8,500us,0.5_0.7
4.35948076,0.000792281,Dr,9,500us,0.5_0.7
4.108837876,0.000749064,Dr,10,500us,0.5_0.7
4.241362586,0.000777629,Dr,11,500us,0.5_0.7
4.048239183,0.000744136,Dr,12,500us,0.5_0.7
4.060419904,0.000763685,Dr,13,500us,0.5_0.7
3.94184631,0.000763244,Dr,14,500us,0.5_0.7
3.991796141,0.000729544,Dr,15,500us,0.5_0.7
3.919366568,0.000761444,Dr,16,500us,0.5_0.7
3.984274517,0.000778229,Dr,17,500us,0.5_0.7
4.051438386,0.000722637,Dr,18,500us,0.5_0.7
4.176513114,0.000788745,Dr,19,500us,0.5_0.7
3.817222339,0.000798631,Dr,20,500us,0.5_0.7
6.865435272,0.000876717,Tt,1,0us,0.5_0.7
6.775713411,0.000829052,Tt,2,0us,0.5_0.7
6.771563629,0.000822376,Tt,3,0us,0.5_0.7
6.612202338,0.000808486,Tt,4,0us,0.5_0.7
6.861546023,0.000848247,Tt,5,0us,0.5_0.7
6.528663065,0.000831802,Tt,6,0us,0.5_0.7
6.575028237,0.000801957,Tt,7,0us,0.5_0.7
6.8829384,0.000830196,Tt,8,0us,0.5_0.7
7.145998329,0.00083994,Tt,9,0us,0.5_0.7
6.752040674,0.000863003,Tt,10,0us,0.5_0.7
6.327696239,0.000809385,Tt,11,0us,0.5_0.7
7.195434531,0.000837842,Tt,12,0us,0.5_0.7
6.748424352,0.000880537,Tt,13,0us,0.5_0.7
6.756748696,0.000849226,Tt,14,0us,0.5_0.7
6.491630704,0.000841819,Tt,15,0us,0.5_0.7
6.903639385,0.000814166,Tt,16,0us,0.5_0.7
6.894147141,0.000858968,Tt,17,0us,0.5_0.7
6.528823527,0.000814652,Tt,18,0us,0.5_0.7
6.72934982,0.000849497,Tt,19,0us,0.5_0.7
6.598821998,0.000820582,Tt,20,0us,0.5_0.7
6.681424884,0.000816595,Tt,1,100us,0.5_0.7
6.582725534,0.000847153,Tt,2,100us,0.5_0.7
6.776985274,0.000792504,Tt,3,100us,0.5_0.7
6.972232461,0.000810827,Tt,4,100us,0.5_0.7
6.474593016,0.000841205,Tt,5,100us,0.5_0.7
6.630269397,0.000828525,Tt,6,100us,0.5_0.7
6.695638352,0.000822872,Tt,7,100us,0.5_0.7
6.79601976,0.000870851,Tt,8,100us,0.5_0.7
6.576483756,0.000797712,Tt,9,100us,0.5_0.7
6.720958363,0.000807418,Tt,10,100us,0.5_0.7
6.863002556,0.000809435,Tt,11,100us,0.5_0.7
6.37752047,0.000808303,Tt,12,100us,0.5_0.7
6.378848936,0.000849003,Tt,13,100us,0.5_0.7
6.399391966,0.000797434,Tt,14,100us,0.5_0.7
6.675680809,0.000846468,Tt,15,100us,0.5_0.7
6.663149809,0.00082345,Tt,16,100us,0.5_0.7
6.53012879,0.000796975,Tt,17,100us,0.5_0.7
6.553930303,0.000855837,Tt,18,100us,0.5_0.7
6.693778986,0.000832905,Tt,19,100us,0.5_0.7
6.756231737,0.000798287,Tt,20,100us,0.5_0.7
6.457602976,0.000815117,Tt,1,200us,0.5_0.7
6.685696276,0.000844832,Tt,2,200us,0.5_0.7
6.505306813,0.000811452,Tt,3,200us,0.5_0.7
6.95024433,0.000856155,Tt,4,200us,0.5_0.7
6.929447601,0.000850419,Tt,5,200us,0.5_0.7
6.841697994,0.000836338,Tt,6,200us,0.5_0.7
6.709216035,0.000823665,Tt,7,200us,0.5_0.7
6.735875508,0.000841612,Tt,8,200us,0.5_0.7
6.328523889,0.000831709,Tt,9,200us,0.5_0.7
6.638211511,0.000861717,Tt,10,200us,0.5_0.7
6.613538464,0.000823878,Tt,11,200us,0.5_0.7
6.483461011,0.00082711,Tt,12,200us,0.5_0.7
6.357344853,0.000843278,Tt,13,200us,0.5_0.7
6.646146259,0.000804184,Tt,14,200us,0.5_0.7
6.801751827,0.000838701,Tt,15,200us,0.5_0.7
6.363410194,0.000845676,Tt,16,200us,0.5_0.7
6.504327066,0.000804483,Tt,17,200us,0.5_0.7
6.770549874,0.000825839,Tt,18,200us,0.5_0.7
6.507008484,0.000791231,Tt,19,200us,0.5_0.7
6.9604338,0.000860497,Tt,20,200us,0.5_0.7
6.733274202,0.000855949,Tt,1,500us,0.5_0.7
6.598684832,0.000812925,Tt,2,500us,0.5_0.7
6.743429136,0.00083991,Tt,3,500us,0.5_0.7
6.732888513,0.000834399,Tt,4,500us,0.5_0.7
6.63794144,0.000803662,Tt,5,500us,0.5_0.7
6.874579805,0.000859102,Tt,6,500us,0.5_0.7
6.627804772,0.000838701,Tt,7,500us,0.5_0.7
6.765686988,0.000833443,Tt,8,500us,0.5_0.7
7.143620798,0.000857643,Tt,9,500us,0.5_0.7
6.732594279,0.000806599,Tt,10,500us,0.5_0.7
6.916033272,0.000852729,Tt,11,500us,0.5_0.7
6.694623108,0.000798436,Tt,12,500us,0.5_0.7
6.675940403,0.000825945,Tt,13,500us,0.5_0.7
6.513612985,0.000826159,Tt,14,500us,0.5_0.7
6.633283949,0.000785885,Tt,15,500us,0.5_0.7
6.513514065,0.000819881,Tt,16,500us,0.5_0.7
6.542804462,0.000848392,Tt,17,500us,0.5_0.7
6.667815719,0.000788328,Tt,18,500us,0.5_0.7
6.84444453,0.000862521,Tt,19,500us,0.5_0.7
6.400086081,0.000860517,Tt,20,500us,0.5_0.7
