g,pt,time,predict,rep,norm,norm.fit
1.005056753,40,0.21626928,1.031689786,1,0.001478994,0.009268594
1.004403229,40,0.2241336,1.03159961,1,0.001287852,0.009242219
1.00510735,40,0.23199792,1.031515545,1,0.001493792,0.009217632
1.002816766,40,0.23986224,1.031436988,1,0.000823845,0.009194656
1.002550231,40,0.24772656,1.031363415,1,0.000745889,0.009173137
1.004187856,40,0.25952304,1.031261411,1,0.00122486,0.009143303
1.005494472,40,0.27525168,1.031138999,1,0.001607017,0.0091075
1.004306398,40,0.29098032,1.031029813,1,0.001259531,0.009075566
1.004584699,40,0.30670896,1.030931819,1,0.001340928,0.009046905
1.006636221,40,0.3224376,1.030843381,1,0.001940955,0.009021038
1.005041505,40,0.33816624,1.030763166,1,0.001474534,0.008997577
1.003988893,40,0.35389488,1.030690078,1,0.001166667,0.0089762
1.005415727,40,0.36962352,1.030623207,1,0.001583986,0.008956642
1.004978699,40,0.38535216,1.030561793,1,0.001456164,0.00893868
1.005462347,40,0.4010808,1.030505194,1,0.001597621,0.008922126
1.004164543,40,0.41680944,1.030452864,1,0.001218041,0.00890682
1.00556611,40,0.43253808,1.030404339,1,0.00162797,0.008892628
1.005767226,40,0.44826672,1.030359218,1,0.001686792,0.008879431
1.004126308,40,0.46399536,1.030317155,1,0.001206858,0.008867128
1.004327752,40,0.479724,1.03027785,1,0.001265776,0.008855632
1.003888797,40,0.49545264,1.030241039,1,0.001137391,0.008844866
1.003997984,40,0.5190456,1.030190004,1,0.001169326,0.008829939
1.005064859,40,0.55050288,1.030128761,1,0.001481364,0.008812027
1.003756479,40,0.58196016,1.030074136,1,0.001098691,0.00879605
1.004984905,40,0.61341744,1.030025112,1,0.00145798,0.008781712
1.00370501,40,0.64487472,1.029980871,1,0.001083637,0.008768772
1.006534385,40,0.676332,1.029940743,1,0.00191117,0.008757036
1.004303277,40,0.70778928,1.029904182,1,0.001258618,0.008746342
1.003803765,40,0.73924656,1.029870731,1,0.001112521,0.008736559
1.005651031,40,0.77070384,1.029840011,1,0.001652807,0.008727574
1.004284638,40,0.80216112,1.0298117,1,0.001253166,0.008719293
1.004493012,40,0.8336184,1.029785524,1,0.001314111,0.008711637
1.003484814,40,0.86507568,1.029761253,1,0.001019235,0.008704539
1.00421359,40,0.89653296,1.029738684,1,0.001232386,0.008697938
1.004807171,40,0.92799024,1.029717645,1,0.001405996,0.008691784
1.004721977,40,0.95944752,1.029697985,1,0.001381079,0.008686034
3.009697056,95,1.06E-05,2.94159263,1,0.993845171,0.960165839
2.984186317,95,1.15E-05,2.933706927,1,0.981229476,0.956266163
2.990314595,95,1.25E-05,2.925885371,1,0.984260062,0.952398209
3.007891826,95,1.34E-05,2.918127183,1,0.99295244,0.948561592
2.972974894,95,1.44E-05,2.910431594,1,0.975685149,0.944755932
2.964898869,95,1.54E-05,2.902797851,1,0.971691354,0.940980856
2.94214348,95,1.63E-05,2.895225211,1,0.960438248,0.937235997
2.92551637,95,1.73E-05,2.887712944,1,0.952215729,0.933520994
2.922666008,95,1.82E-05,2.880260329,1,0.950806154,0.929835491
2.88888922,95,1.92E-05,2.87286666,1,0.934102692,0.926179138
2.889316774,95,2.02E-05,2.86553124,1,0.934314128,0.92255159
2.921715887,95,2.11E-05,2.858253383,1,0.950336295,0.918952509
2.873592278,95,2.21E-05,2.851032415,1,0.926537974,0.915381561
2.868794169,95,2.30E-05,2.84386767,1,0.92416519,0.911838416
2.868984193,95,2.40E-05,2.836758495,1,0.924259161,0.908322752
2.866086325,95,2.50E-05,2.829704246,1,0.922826093,0.904834251
2.839150406,95,2.59E-05,2.822704289,1,0.909505612,0.901372598
2.818010223,95,2.69E-05,2.815757999,1,0.899051265,0.897937485
2.830504309,95,2.78E-05,2.808864761,1,0.905229902,0.894528607
2.808414004,95,2.88E-05,2.802023971,1,0.894305696,0.891145666
2.77040918,95,2.98E-05,2.795235031,1,0.875511366,0.887788367
2.809126595,95,3.07E-05,2.788497355,1,0.89465809,0.884456418
2.764209643,95,3.22E-05,2.778485696,1,0.872445541,0.879505404
2.75276069,95,3.41E-05,2.765310913,1,0.866783749,0.872990146
2.730052807,95,3.60E-05,2.752331049,1,0.855554136,0.866571281
2.715207173,95,3.79E-05,2.73954181,1,0.848212601,0.860246684
2.698437544,95,3.98E-05,2.726939027,1,0.839919602,0.854014294
2.688342512,95,4.18E-05,2.714518651,1,0.834927358,0.847872109
2.675420872,95,4.37E-05,2.702276752,1,0.828537285,0.841818186
2.662475479,95,4.56E-05,2.69020951,1,0.822135467,0.835850635
2.637416048,95,4.75E-05,2.678313213,1,0.809742955,0.82996762
2.637914861,95,4.94E-05,2.666584255,1,0.80998963,0.824167359
2.623520534,95,5.14E-05,2.655019129,1,0.802871278,0.818448116
2.605230712,95,5.33E-05,2.643614427,1,0.793826506,0.812808207
2.595586988,95,5.52E-05,2.632366833,1,0.789057445,0.807245992
2.582594089,95,5.71E-05,2.621273124,1,0.782632133,0.801759878
2.564066737,95,5.90E-05,2.610330162,1,0.773469897,0.796348311
2.558722308,95,6.10E-05,2.599534897,1,0.770826943,0.791009784
2.540111821,95,6.38E-05,2.583612453,1,0.761623595,0.783135739
2.511833856,95,6.77E-05,2.562872398,1,0.747639438,0.772879266
2.494874203,95,7.15E-05,2.542672159,1,0.739252468,0.762889746
2.489315998,95,7.54E-05,2.522990932,1,0.736503797,0.753156889
2.442938235,95,7.92E-05,2.503808967,1,0.71356884,0.743670931
2.439458419,95,8.30E-05,2.485107505,1,0.711847985,0.734422593
2.412154328,95,8.69E-05,2.466868715,1,0.698345433,0.725403058
2.397688741,95,9.07E-05,2.449075637,1,0.69119184,0.716603938
2.39031343,95,9.46E-05,2.431712129,1,0.687544565,0.708017252
2.360574655,95,9.84E-05,2.414762822,1,0.672838002,0.699635398
2.357403628,95,0.00010224,2.398213068,1,0.67126985,0.691451133
2.337700501,95,0.00010608,2.382048904,1,0.661526164,0.683457552
2.33406629,95,0.00010992,2.36625701,1,0.659728956,0.675648067
2.300930834,95,0.00011376,2.350824671,1,0.643342649,0.668016392
2.290990197,95,0.0001176,2.335739747,1,0.638426757,0.660556522
2.279683762,95,0.00012144,2.320990635,1,0.632835443,0.653262719
2.259576834,95,0.0001272,2.29947249,1,0.622892067,0.642621461
2.235057784,95,0.00013488,2.271857448,1,0.610766788,0.628965136
2.21375133,95,0.00014256,2.245400983,1,0.600230216,0.615881757
2.190259597,95,0.00015024,2.220031682,1,0.58861297,0.603336006
2.174077856,95,0.00015792,2.195683883,1,0.580610697,0.591295414
2.155051691,95,0.0001656,2.172297107,1,0.571201785,0.579730072
2.138923393,95,0.00017328,2.149815556,1,0.56322594,0.568612386
2.112462534,95,0.00018096,2.128187672,1,0.550140388,0.557916859
2.097391246,95,0.00018864,2.107365737,1,0.542687261,0.547619895
2.087670325,95,0.00019632,2.087305525,1,0.537880024,0.537699621
2.070199982,95,0.000204,2.067965988,1,0.529240505,0.528135739
2.05017619,95,0.00021168,2.049308976,1,0.519338242,0.518909383
2.035170223,95,0.00021936,2.031298984,1,0.511917418,0.510002994
2.018810333,95,0.00022704,2.013902928,1,0.503827045,0.501400212
1.99753357,95,0.00023472,1.997089942,1,0.493305157,0.493085772
1.98954068,95,0.0002424,1.980831194,1,0.489352474,0.485045417
1.968157028,95,0.00025392,1.957423765,1,0.478777726,0.473469861
1.945915299,95,0.00026928,1.927916115,1,0.467778638,0.458877594
1.923430101,95,0.00028464,1.900192196,1,0.456659149,0.445167427
1.902868897,95,3.00E-04,1.874095016,1,0.446491122,0.432261722
1.873124184,95,0.00031536,1.849485477,1,0.431781622,0.420091693
1.856289234,95,0.00033072,1.826239903,1,0.42345632,0.408596179
1.833364605,95,0.00034608,1.804247956,1,0.412119521,0.397720614
1.813916824,95,0.00036144,1.783410889,1,0.40250211,0.387416166
1.79692748,95,0.0003768,1.763640056,1,0.394100457,0.377638998
1.778999892,95,0.00039216,1.744855662,1,0.385234819,0.368349648
1.76128608,95,0.00040752,1.726985677,1,0.376474898,0.359512496
1.741490911,95,0.00042288,1.70996492,1,0.366685695,0.351095308
1.726505728,95,0.00043824,1.693734258,1,0.359275149,0.343068842
1.711814488,95,0.0004536,1.678239926,1,0.352009966,0.33540651
1.696312676,95,0.00046896,1.663432928,1,0.344343934,0.328084081
1.683435573,95,0.00048432,1.649268522,1,0.337975886,0.32107943
1.66849938,95,0.00050736,1.62913815,1,0.330589568,0.311124461
1.638171233,95,0.00053808,1.604192202,1,0.315591545,0.298788069
1.618080636,95,0.0005688,1.5811806,1,0.305656245,0.287408259
1.595987363,95,0.00059952,1.559886752,1,0.294730572,0.276877922
1.569618547,95,0.00063024,1.540125242,1,0.281690537,0.267105364
1.547359002,95,0.00066096,1.521736409,1,0.270682638,0.258011629
1.532646978,95,0.00069168,1.50458203,1,0.263407176,0.249528362
1.514293321,95,0.0007224,1.488541838,1,0.254330837,0.241596088
1.492918576,95,0.00075312,1.473510696,1,0.243760494,0.234162814
1.480633813,95,0.00078384,1.459396293,1,0.237685373,0.227182891
1.465048866,95,0.00081456,1.446117243,1,0.229978229,0.220616071
1.450504598,95,0.00084528,1.433601518,1,0.222785727,0.214426733
1.437532483,95,0.000876,1.42178514,1,0.216370693,0.208583241
1.419348065,95,0.00090672,1.410611084,1,0.207378046,0.203057392
1.405412468,95,0.00093744,1.400028363,1,0.200486547,0.197823973
1.39579695,95,0.00096816,1.389991247,1,0.195731434,0.19286037
1.377628863,95,0.00101424,1.375869717,1,0.186746864,0.185876922
1.359005757,95,0.00107568,1.358599213,1,0.177537275,0.177336228
1.342486277,95,0.00113712,1.342888381,1,0.169367981,0.169566831
1.333369573,95,0.00119856,1.328535072,1,0.164859544,0.162468763
1.319789528,95,0.00126,1.315370623,1,0.158143874,0.155958616
1.307324391,95,0.00132144,1.303253203,1,0.151979554,0.14996625
1.295888799,95,0.00138288,1.292062675,1,0.146324369,0.144432256
1.28985776,95,0.00144432,1.281696607,1,0.14334187,0.139305977
1.284173367,95,0.00150576,1.272067123,1,0.140530797,0.134543958
1.275005445,95,0.0015672,1.263098407,1,0.135997031,0.130108705
1.263706432,95,0.00162864,1.254724704,1,0.130409388,0.125967701
1.256040147,95,0.00169008,1.246888702,1,0.12661822,0.122092603
1.250140492,95,0.00175152,1.23954022,1,0.123700694,0.118458596
1.240396559,95,0.00181296,1.232635135,1,0.118882077,0.115043859
1.235729834,95,0.0018744,1.226134491,1,0.116574265,0.111829129
1.228167468,95,0.00193584,1.220003766,1,0.112834487,0.108797333
1.222653057,95,0.002028,1.211435032,1,0.110107474,0.104559881
1.213013044,95,0.00215088,1.201044755,1,0.105340247,0.099421631
1.205170467,95,0.00227376,1.191676985,1,0.101461898,0.094789036
1.198911176,95,0.00239664,1.183187861,1,0.098366523,0.090590953
1.192328622,95,0.00251952,1.175459304,1,0.095111286,0.086768989
1.188192999,95,0.0026424,1.168393484,1,0.093066118,0.083274765
1.181866532,95,0.00276528,1.161908659,1,0.089937523,0.080067858
1.173916695,95,0.00288816,1.155935999,1,0.086006131,0.077114229
1.169572491,95,0.00301104,1.150417135,1,0.083857814,0.074385014
1.166249667,95,0.00313392,1.14530224,1,0.082214595,0.071855571
1.160934558,95,0.0032568,1.140548526,1,0.079586141,0.069504741
1.158115743,95,0.00337968,1.136119041,1,0.078192167,0.067314251
1.154428088,95,0.00350256,1.131981709,1,0.07636853,0.065268237
1.153626052,95,0.00362544,1.128108547,1,0.075971903,0.063352862
1.148381461,95,0.00374832,1.124475037,1,0.073378322,0.061556001
1.145348498,95,0.0038712,1.121059605,1,0.071878447,0.059866985
1.135231012,95,0.00405552,1.116304254,1,0.066875098,0.057515346
1.130627195,95,0.00430128,1.11056644,1,0.064598396,0.054677854
